epoch,hard_dice,hard_dice_1,hard_dice_2,loss,val_hard_dice,val_hard_dice_1,val_hard_dice_2,val_loss
0,0.81511117954,0.68904628265,0.699732216907,0.232597292149,0.837141250117,0.689337335827,0.739061706724,0.217791297487
1,0.854161409841,0.748387213498,0.73723993299,0.18951480884,0.824499535158,0.697437479708,0.725384893703,0.217137994282
2,0.864408728435,0.774180137665,0.743447321448,0.176310154759,0.848534650352,0.704999211234,0.725256246576,0.210337077436
3,0.870546134642,0.789124424082,0.74838084608,0.168668031744,0.845268127473,0.723647978596,0.739376376463,0.204068495271
4,0.871629733864,0.792447409285,0.746923471733,0.167091398145,0.838240970152,0.70474883474,0.712471406118,0.215363068972
5,0.875023694605,0.804358853709,0.75626905673,0.160701185441,0.8442890634,0.724970331558,0.721789543529,0.199958557394
6,0.879838718788,0.816489742549,0.758051537378,0.154226501088,0.841831878675,0.710928376085,0.722892322588,0.210598318991
7,0.88031876668,0.816427626831,0.767500536793,0.15064153665,0.814079408304,0.655648040478,0.644267624253,0.265225840292
8,0.884209110383,0.827114489362,0.762588165302,0.148689307439,0.862899118415,0.749289323804,0.753170010035,0.187086672657
9,0.8836622395,0.827645577368,0.767190078461,0.147714010352,0.866659483083,0.772528758393,0.771856249441,0.171603409761
10,0.88436321084,0.826540859972,0.769371698474,0.146240248777,0.8672180091,0.761755356463,0.750107952634,0.180794440533
11,0.887873053224,0.83508195039,0.768444715701,0.141940446033,0.869926968093,0.75547952522,0.751084232001,0.17709753962
12,0.891064654878,0.841135683416,0.77731604274,0.138332865927,0.866153509954,0.754335461344,0.756435812744,0.177822534706
13,0.886467820099,0.833127437664,0.774319815544,0.143113584177,0.857260723085,0.731074639066,0.736073145701,0.196362313422
14,0.891307971815,0.846725628592,0.779942319316,0.135469229394,0.875335659923,0.76523820822,0.775603510222,0.166481087445
15,0.891875433239,0.843389028974,0.788006115737,0.135200809594,0.869673881663,0.772563980326,0.775106342105,0.167094208678
16,0.896205353823,0.855134289357,0.783560431804,0.130716009606,0.875802584141,0.757910376357,0.757982662239,0.171198940222
